employee_id,years_experience,training_hours,team_size,projects_completed,satisfaction_score,commute_minutes,performance_rating,salary_band,remote_pct
1,11.2,28.1,4,7,3.02,41,44.6,L4,0
2,28.5,47.1,13,6,7.54,16,48.2,L1,25
3,22.0,68.2,12,11,7.37,74,38.2,L1,75
4,18.0,60.2,17,10,2.38,47,54.6,L1,75
5,4.7,63.9,19,11,9.23,10,66.0,L1,50
6,4.7,32.3,10,7,1.58,13,54.6,L4,100
7,1.7,25.2,20,8,1.5,14,43.0,L5,0
8,26.0,38.1,11,12,2.69,25,59.9,L1,75
9,18.0,40.8,10,5,9.19,8,73.7,L3,75
10,21.2,56.4,16,5,5.68,87,52.4,L4,0
11,0.6,14.6,20,11,8.09,23,55.5,L5,25
12,29.1,62.9,24,7,3.05,13,56.8,L1,25
13,25.0,37.6,22,4,5.41,26,34.0,L5,75
14,6.4,33.6,22,10,4.22,13,45.9,L3,25
15,5.5,24.8,23,5,8.45,43,44.9,L4,0
16,5.5,15.2,14,7,1.2,21,58.3,L4,75
17,9.1,52.3,21,8,3.19,5,57.2,L5,0
18,15.7,41.1,16,6,2.37,5,48.8,L1,25
19,13.0,20.7,19,11,8.73,50,44.3,L2,0
20,8.7,20.6,23,10,5.21,21,33.1,L4,25
