,count,unique,top,freq,mean,std,min,25%,50%,75%,max
employee_id,800.0,,,,400.5,231.08440016582685,1.0,200.75,400.5,600.25,800.0
years_experience,800.0,,,,14.909375,8.809562139558267,0.2,7.275,15.2,22.6,30.0
training_hours,800.0,,,,41.08825000000001,14.915716046136076,0.0,30.9,40.849999999999994,50.6,79.5
team_size,800.0,,,,13.69,6.426353750624081,3.0,8.0,14.0,19.0,24.0
projects_completed,800.0,,,,7.9625,2.9200603059248276,1.0,6.0,8.0,10.0,18.0
satisfaction_score,800.0,,,,5.6188875,2.5760546304703458,1.0,3.51,5.595,7.8175,9.98
commute_minutes,800.0,,,,24.475,23.384084207913798,5.0,7.0,16.0,33.0,120.0
performance_rating,800.0,,,,49.997125,10.016765881899756,9.5,43.3,50.7,56.925,75.3
salary_band,800,5,L5,170,,,,,,,
remote_pct,800.0,,,,48.1875,35.308791145622735,0.0,25.0,50.0,75.0,100.0
