model,fold,R2,RMSE
RandomForest,1,-0.21277380927885603,9.776085100578348
RandomForest,2,-0.05184338876058647,11.45231240650769
RandomForest,3,-0.08297069290618242,10.649121584372581
RandomForest,4,-0.07754685796748118,9.919731356304466
RandomForest,5,-0.0647396194406562,10.338896005800136
DummyMean,1,-0.010573360016442379,8.923988284087516
DummyMean,2,-0.00047161563488651304,11.1691476391162
DummyMean,3,-0.003336582499282814,10.250115454046801
DummyMean,4,-0.00022236481619875015,9.557187556199523
DummyMean,5,-0.004974945279692111,10.04454056398806
