employee_id,years_experience,training_hours,team_size,projects_completed,satisfaction_score,commute_minutes,performance_rating,salary_band,remote_pct
1,11.2,28.1,4,7,3.02,41,44.6,L4,0
2,28.5,47.1,13,6,7.54,16,48.2,L1,25
3,22.0,68.2,12,11,7.37,74,38.2,L1,75
4,18.0,60.2,17,10,2.38,47,54.6,L1,75
5,4.7,63.9,19,11,9.23,10,66.0,L1,50
6,4.7,32.3,10,7,1.58,13,54.6,L4,100
7,1.7,25.2,20,8,1.5,14,43.0,L5,0
8,26.0,38.1,11,12,2.69,25,59.9,L1,75
9,18.0,40.8,10,5,9.19,8,73.7,L3,75
10,21.2,56.4,16,5,5.68,87,52.4,L4,0
11,0.6,14.6,20,11,8.09,23,55.5,L5,25
12,29.1,62.9,24,7,3.05,13,56.8,L1,25
13,25.0,37.6,22,4,5.41,26,34.0,L5,75
14,6.4,33.6,22,10,4.22,13,45.9,L3,25
15,5.5,24.8,23,5,8.45,43,44.9,L4,0
16,5.5,15.2,14,7,1.2,21,58.3,L4,75
17,9.1,52.3,21,8,3.19,5,57.2,L5,0
18,15.7,41.1,16,6,2.37,5,48.8,L1,25
19,13.0,20.7,19,11,8.73,50,44.3,L2,0
20,8.7,20.6,23,10,5.21,21,33.1,L4,25
21,18.4,35.0,5,9,4.64,75,49.8,L2,25
22,4.2,65.0,9,11,5.05,5,40.5,L4,0
23,8.8,36.1,19,8,9.75,9,39.2,L1,25
24,11.0,17.5,14,7,8.65,5,59.3,L1,50
25,13.7,36.3,11,8,7.36,20,58.2,L4,0
26,23.6,35.9,17,4,3.61,12,45.1,L5,50
27,6.0,0.0,20,10,2.49,5,34.3,L1,0
28,15.4,39.2,23,8,9.29,26,41.7,L1,25
29,17.8,36.5,15,7,4.81,19,59.9,L3,25
30,1.4,50.4,23,11,3.51,8,54.7,L1,75
31,18.2,67.7,10,8,5.24,16,45.3,L3,75
32,5.1,56.9,16,7,9.26,34,50.6,L1,50
33,2.0,36.0,10,12,4.48,6,29.3,L1,25
34,28.5,23.4,16,11,6.06,9,28.5,L5,75
35,29.0,78.6,9,13,8.23,11,69.8,L5,25
36,24.3,40.9,14,11,4.84,34,55.1,L1,0
37,9.1,40.2,13,10,3.1,47,50.0,L4,75
38,2.9,39.6,24,10,9.95,12,46.0,L4,50
39,20.5,43.0,24,10,9.61,9,32.4,L1,75
40,13.2,37.8,13,2,8.59,55,59.9,L4,25
41,3.7,31.4,24,15,7.2,120,38.6,L1,100
42,14.9,31.8,15,10,3.65,28,57.0,L5,100
43,1.0,39.5,20,5,9.22,115,51.3,L2,25
44,27.3,31.8,4,9,3.48,27,49.5,L3,0
45,7.8,29.3,23,9,8.21,33,37.0,L4,75
46,19.9,41.6,17,8,9.26,12,37.1,L4,100
47,9.4,36.2,22,8,6.43,14,53.9,L5,0
48,15.6,62.6,20,11,8.23,5,50.8,L4,25
49,16.4,0.2,17,7,8.13,43,50.5,L1,0
50,5.5,56.4,21,9,2.74,67,52.9,L1,25
51,29.1,58.7,14,7,7.01,24,30.6,L2,75
52,23.3,8.9,15,3,1.84,11,60.2,L2,0
